0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Page
,1,,,Sachin Tendular,,,India,,,1989-2012,,,452,,,18426,,,200,,,44.83,,,86.23,,1
,3,,,Ricky Ponting,,,Australia,,,1995-2012,,,365,,,13704,,,164,,,42.03,,,80.39,,1
,5,,,Mahela Jayawardene,,,Sri Lanka,,,1998-2015,,,418,,,12650,,,144,,,33.37,,,78.96,,1
,7,,,Inzamam-ul-Haq,,,Pakistan,,,1991-200,,,350,,,11739,,,137,,,39.52,,,74.24,,1
,9,,,Saurav Ganguly,,,India,,,1992-2007,,,300,,,11363,,,183,,,41.02,,,73.7,,1
